songName, artist
"NO ME CONOCES - PASAJE","FRANCISCO RODRÍGUEZ"
"Tengo ganas de un beso","AGUSTIN LARA"
"Porque te vas","AGUSTIN LARA"
"Pensando en ti","AGUSTIN LARA"
"Se mia esta noche","AGUSTIN LARA"
"Porque ya no me quieres","AGUSTIN LARA "
"Cada noche un amor","AGUSTIN LARA "
"Volveras","AGUSTIN LARA "
"Para soñar contigo","AGUSTIN LARA "
"Casita Blanca","AGUSTIN LARA "
"El Cordobes","AGUSTIN LARA "
"Nocturno","AGUSTIN LARA "
"Rapsodia en Roa","AGUSTIN LARA "
"QUIERO VERTE UNA VEZ MAS ","BILLO'S CARACAS BOYS "
"TINGO AL TANGO ","BILLO'S CARACAS BOYS "
"SIEMPRE A TU LADO ","BILLO'S CARACAS BOYS "
"ARIEL ","BILLO'S CARACAS BOYS "
"TENGO QUE ACOSTUMBRARME ","BILLO'S CARACAS BOYS "
"CANUTO ","BILLO'S CARACAS BOYS "
"CUANDO NO TE CONOCIA","BILLO'S CARACAS BOYS "
"CHARLEMOS ","BILLO'S CARACAS BOYS "
"MAGDALENA ","BILLO'S CARACAS BOYS "
"NO ME MIRES ASI ","BILLO'S CARACAS BOYS "
"MOSAICO ONCE ","BILLO'S CARACAS BOYS "
"MICAELA","BILLO'S CARACAS BOYS"
"SUEÑO CARAQUEÑO ","BILLO'S CARACAS BOYS"
"LA ESPINA ","BILLO'S CARACAS BOYS"
"EL ÚLTIMO ESCALÓN ","BILLO'S CARACAS BOYS"
"POR ENCIMA DE TODO","BILLO'S CARACAS BOYS"
"EL CONDUCTOR","BILLO'S CARACAS BOYS"
"MIRA MIRA","BILLO'S CARACAS BOYS"
"YOLANDA","BILLO'S CARACAS BOYS"
"EL MALQUERIDO","BILLO'S CARACAS BOYS"
"LA COLEGIALA","BILLO'S CARACAS BOYS"
"NI SE COMPRA NI SE VENDE","BILLO'S CARACAS BOYS"
"PABLO Y PAULA","BILLO'S CARACAS BOYS"
"MASAICO N°7","BILLO'S CARACAS BOYS"
"NUESTRO BALANCE","BILLO'S CARACAS BOYS"
"TOCALE LA CAMPANA","BILLO'S CARACAS BOYS"
"CLAUDIA","BILLO'S CARACAS BOYS"
"LA NEGRA MANUELA","BILLO'S CARACAS BOYS"
"}LA POLLERA AMARILLA","BILLO'S CARACAS BOYS"
"MASCULINO Y FEMENINO","BILLO'S CARACAS BOYS"
"VICIO DE TI","BILLO'S CARACAS BOYS"
"PENSANDO EN TI","BILLO'S CARACAS BOYS"
"SI ME CAMELAS ","BILLO'S CARACAS BOYS"
"CANTA GUITARRA","BILLO'S CARACAS BOYS"
"MOSAICO 20","BILLO'S CARACAS BOYS"
"EL CONDUCTOR","BILLO'S CARACAS BOYS"
"BOGOTANA","BILLO'S CARACAS BOYS"
"TE QUIERO, PORQUE TE QUIERO ","BILLO'S CARACAS BOYS"
"MIENTES ","BILLO'S CARACAS BOYS"
"CARNAVAL DEL 66","BILLO'S CARACAS BOYS"
"EL TIMACLE","BILLO'S CARACAS BOYS"
"MIENTES","BILLO'S CARACAS BOYS"
"CARNAVAL DEL '66","BILLO'S CARACAS BOYS"
"EN EL ULTIMO ESCALON","BILLO'S CARACAS BOYS"
"QUE LINDA","BILLO'S CARACAS BOYS"
"EL PUENTE","BILLO'S CARACAS BOYS"
"MI CUNDE","BILLO'S CARACAS BOYS"
"TE QUIERO PORQUE TE QUIERO","BILLO'S CARACAS BOYS"
"EL TIMACLE","BILLO'S CARACAS BOYS"
"LA NOVICIA REBELDE","BILLO'S CARACAS BOYS"
"EL YOYO","BILLO'S CARACAS BOYS"
"CHARLEMOS","BILLO'S CARACAS BOYS"
"VUELVELO A PONE","BILLO'S CARACAS BOYS"
"TABOGA","BILLO'S CARACAS BOYS"
"TE LO JURO YO","BILLO'S CARACAS BOYS"
"LA COMPARSA","BILLO'S CARACAS BOYS"
"EL PROFESOR RUI RUI","BILLO'S CARACAS BOYS"
"VELORIO DE FRANCISCO","BILLO'S CARACAS BOYS"
"TOCALE LA CAMPANA","BILLO'S CARACAS BOYS"
"GUANTANAMERA","BILLO'S CARACAS BOYS"
"MAGDALENA","BILLO'S CARACAS BOYS"
"ARIEL","BILLO'S CARACAS BOYS"
"QUE SE ME CAIGAN LOS DIENTES","BILLO'S CARACAS BOYS"
"MOSAICO N°21","BILLO'S CARACAS BOYS"
"MENSAJE","AGUSTIN LARA"
"MARIA BONITA","AGUSTIN LARA"
"PALMERAS-VERACRUZ","AGUSTIN LARA"
"EL ADIOS DEL MARINO","AGUSTIN LARA"
"IMPOSIBLE","AGUSTIN LARA"
"MARIMBA","AGUSTIN LARA"
"CADA NOCHE UN AMOR","AGUSTIN LARA"
"SANTA","AGUSTIN LARA"
"MUJER","AGUSTIN LARA"
"GRANADA","AGUSTIN LARA"
"RIVAL ","AGUSTIN LARA"
"REVANCHA","AGUSTIN LARA"
"LA RENGA","BILLO'S CARACAS BOYS"
"LA SIRENA","BILLO'S CARACAS BOYS"
"RIO ABAJO","BILLO'S CARACAS BOYS"
"Y QUE QUIERES","BILLO'S CARACAS BOYS"
"SI VAS A CALATAYUD","BILLO'S CARACAS BOYS"
"MI PREFERIDA","BILLO'S CARACAS BOYS"
"CUATRO VELAS","BILLO'S CARACAS BOYS"
"CARACAS SIEMPRE CARACAS","BILLO'S CARACAS BOYS"
"CON LA OTRA","BILLO'S CARACAS BOYS"
"YA VIENEN LA NENA","BILLO'S CARACAS BOYS"
"MOSAICO #19: CELOS- ME LO DIJO ADELA - ESTOY TRISTE - LA MARICUTANA - EL DISCO RAYAO","BILLO'S CARACAS BOYS"
"LA NEGRA MICAELA","BILLO'S CARACAS BOYS"
"EL PUENTE","BILLO'S CARACAS BOYS"
"TAMBORERO","BILLO'S CARACAS BOYS"
"CALLECITA DE LA GUAYRA","BILLO'S CARACAS BOYS"
"MAMBO MORUNO","BILLO'S CARACAS BOYS"
"EL TABAQUITO","BILLO'S CARACAS BOYS"
"YOLANDA","BILLO'S CARACAS BOYS"
"DESCONOCIDOS","BILLO'S CARACAS BOYS"
"JUEPA","BILLO'S CARACAS BOYS"
"NI SE COMPRA NI SE VENDE","BILLO'S CARACAS BOYS"
"MOSAICO #17: 20 AÑOS - ASÍ QUERIA VERTE - PERFIDIA - SUN SUN BABAE - EL CARBONERO","BILLO'S CARACAS BOYS"
"ELENA","BILLO'S CARACAS BOYS"
"ES O SI ES VIDA","BILLO'S CARACAS BOYS"
"UNA ESPERANZA","BILLO'S CARACAS BOYS"
"CUNA CAÑI","BILLO'S CARACAS BOYS"
"MOSAICO #16: QUE TE PASA?-EL CANANTE-NO TE IMPORTA SABER-BUMBA-CUTIRO","BILLO'S CARACAS BOYS"
"MI CUMPLEAÑOS","BILLO'S CARACAS BOYS"
"TE LO JURO YO","BILLO'S CARACAS BOYS"
"MAÑANA LLAMO OTRA VEZ","BILLO'S CARACAS BOYS"
"CANTINERO SIRVA TRAGO","BILLO'S CARACAS BOYS"
"NO SE PUEDE QUERER","BILLO'S CARACAS BOYS"
"MI CUNDE","BILLO'S CARACAS BOYS"
"SE NECESITAN DOS","BILLO'S CARACAS BOYS"
"GUANTANAMERA","BILLO'S CARACAS BOYS"
"CUANDO TU NO ESTAS","BILLO'S CARACAS BOYS"
"VOLVI A QUERER","BILLO'S CARACAS BOYS"
"EXTRANJERA","BILLO'S CARACAS BOYS"
"TOCALE LA CAMPANA","BILLO'S CARACAS BOYS"
"AMAR Y SUFRIR","BILLO'S CARACAS BOYS"
"EL SAPO","BILLO'S CARACAS BOYS"
"LOS CONSEJOR DE LA GENTE","BILLO'S CARACAS BOYS"
"NOCHE DE MAR","BILLO'S CARACAS BOYS"
"MOSAICO #21: VIRGEN DE MEDIANOCHE, LOS GUSTOS DE VICTOR PEREZ- CAMINITO DE GUARENAS - QUE ME LA DEN ENTERA","BILLO'S CARACAS BOYS"
"UN POCO DE LO MIO","AGUSTIN LARA"
"EL MILAGRO DE TUS OJOS NEGROS","AGUSTIN LARA"
"PORQUE TE VI EN LA SOMBRA","AGUSTIN LARA"
"ROCIO","AGUSTIN LARA"
"ROSA DE FRANCIA","AGUSTIN LARA"
"NUNCA NOS VOLVEREMOS A ENCONTRAR","AGUSTIN LARA"
"FINAL","AGUSTIN LARA"
"MUJER","AGUSTIN LARA"
"ESTRELLA SOLITARIA","AGUSTIN LARA"
"MIRAME","AGUSTIN LARA"
"LA PUERTA DE ORO","AGUSTIN LARA"
"EL PRINCIPE VALS","AGUSTIN LARA"
"SOMBRAS","BILLO'S CARACAS BOYS"
"NUESTO BALANCE","BILLO'S CARACAS BOYS"
"TARDE GRIS","BILLO'S CARACAS BOYS"
"QUIERO VERTE UNA VEZ MAS","BILLO'S CARACAS BOYS"
"CHARLEMOS","BILLO'S CARACAS BOYS"
"UNO","BILLO'S CARACAS BOYS"
"GARUA","BILLO'S CARACAS BOYS"
"DESCONOCIDOS","BILLO'S CARACAS BOYS"
"MIENTES","BILLO'S CARACAS BOYS"
"NADA","BILLO'S CARACAS BOYS"
"CON LA OTRA","BILLO'S CARACAS BOYS"
"QUE FALTA QUE ME HACES","BILLO'S CARACAS BOYS"
"ELENA","BILLO'S CARACAS BOYS"
"ESTO SI ES VIDA","BILLO'S CARACAS BOYS"
"UNA ESPERANZA","BILLO'S CARACAS BOYS"
"TE LO JURO YO","BILLO'S CARACAS BOYS"
"MOSAICO N°16: QUE TE PASA?-EL CANTANTE-NO TE IMPORTE SABER-BUMBA-CUTIRO","BILLO'S CARACAS BOYS"
"MI CUMPLEAÑOS","BILLO'S CARACAS BOYS"
"CUNA CAÑI","BILLO'S CARACAS BOYS"
"MAÑANA LLAMO OTRA VEZ","BILLO'S CARACAS BOYS"
"CANTINERO SIRVA TRAGO","BILLO'S CARACAS BOYS"
"NO SE PUEDE QUERER","BILLO'S CARACAS BOYS"
"MI CUNDE","BILLO'S CARACAS BOYS"
"MOSAICO N° 14: MUCHOS BESOS - QUE ME IMPORTA - AMOR CIEGO - SE VA COVADONGA - ANABACOA","BILLO'S CARACAS BOYS"
"QUE SE ME CAIGAN LOS DIENTES","BILLO'S CARACAS BOYS"
"EL PATO","BILLO'S CARACAS BOYS"
"GARUA","BILLO'S CARACAS BOYS"
"MIL COSAS","BILLO'S CARACAS BOYS"
"DOLOR AL REVES","BILLO'S CARACAS BOYS"
"EL VELORIO DE FRANCISCO","BILLO'S CARACAS BOYS"
"TU NO HAGAS CASO","BILLO'S CARACAS BOYS"
"OLE CON AGUA","BILLO'S CARACAS BOYS"
"EL CABALLO PELOTERO","BILLO'S CARACAS BOYS"
"EN MI VIEJO SAN JUAN","BILLO'S CARACAS BOYS"
"NAVIDAD","BILLO'S CARACAS BOYS"
"YO QUIERO UN CORAZÓN","BILLO'S CARACAS BOYS"
"MI CASITA","BILLO'S CARACAS BOYS"
"ADIOS A ESPAÑA","BILLO'S CARACAS BOYS"
"LINDA MAÑANA","BILLO'S CARACAS BOYS"
"LLEVATELO TODO","BILLO'S CARACAS BOYS"
"LA COLEGIALA","BILLO'S CARACAS BOYS"
"NOCHE DE RONDA","BILLO'S CARACAS BOYS"
"TRISTE PAPEL","BILLO'S CARACAS BOYS"
"CONGA DEL CARNAVAL","BILLO'S CARACAS BOYS"
"AL COMPAS DE LAS POLLERAS","BILLO'S CARACAS BOYS"
"EL MENSAJE","BILLO'S CARACAS BOYS"
"CONSENTIDA","BILLO'S CARACAS BOYS"
"CUANDO ESTES SOLA","BILLO'S CARACAS BOYS"
"EL REFRANERO","BILLO'S CARACAS BOYS"
"NO TE VISTAS QUE NO VAS","BILLO'S CARACAS BOYS"
"KARAKATIS-KI","BILLO'S CARACAS BOYS"
"A PARA CUANDO VENGA","BILLO'S CARACAS BOYS"
"TU NO ME ENGAÑAS","BILLO'S CARACAS BOYS"
"CARIÑITO DULZON","BILLO'S CARACAS BOYS"
"SIN INFORMACION","BILLO'S CARACAS BOYS"
